,Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry,Reduced Name
2836,NEO,NeoGenomics Inc. Common Stock,$53.84,5977836033.0,601877,Health Care,Precision Instruments,Neogenomics
2837,NEOG,Neogen Corporation Common Stock,$79.30,4222249200.0,208616,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Neogen
2838,NEP,NextEra Energy Partners LP Common Units representing limited partner interests,$67.05,4894735288.0,400681,Public Utilities,Electric Utilities: Central,Nextera Energy Partners
2839,NESR,National Energy Services Reunited Corp. Ordinary Shares,$9.93,871631101.0,117009,Energy,Oilfield Services/Equipment,National Energy Services Reunited
2840,NET,Cloudflare Inc. Class A Common Stock,$75.99,23351801926.0,3444312,Technology,Computer Software: Prepackaged Software,Cloudflare
2841,NEU,NewMarket Corp Common Stock,$398.29,4349880025.0,21415,Basic Industries,Major Chemicals,Newmarket
2842,NEV,Nuveen Enhanced Municipal Value Fund Common Shares of Beneficial Interest,$16.31,406935609.0,223594,,,Nuveen Enhanced Municipal Value Fund Of Beneficial Interest
2843,NEW,Puxin Limited American Depositary Shares each representing two Ordinary Shares,$5.82,507114933.0,661541,Consumer Services,Other Consumer Services,Puxin Each Representing Two
2844,NEWR,New Relic Inc. Common Stock,$65.40,4093794815.0,251719,Technology,Computer Software: Prepackaged Software,New Relic
2845,NEWT,Newtek Business Services Corp. Common Stock (Maryland),$19.69,428881988.0,423568,,,Newtek Business Services
2846,NEX,NexTier Oilfield Solutions Inc. Common Stock,$3.44,737416666.0,1374954,Energy,Oilfield Services/Equipment,Nextier Oilfield Solutions
2847,NEXA,Nexa Resources S.A. Common Shares,$9.64,1276702320.0,63674,Basic Industries,Precious Metals,Nexa Resources
2848,NFBK,Northfield Bancorp Inc. Common Stock (Delaware),$12.33,655001042.0,278963,Finance,Savings Institutions,Northfield Bancorp
2849,NFE,New Fortress Energy Inc. Class A Common Stock,$53.59,9336544065.0,341335,Public Utilities,Oil/Gas Transmission,New Fortress Energy
2850,NFG,National Fuel Gas Company Common Stock,$41.13,3741414141.0,353506,Public Utilities,Oil/Gas Transmission,National Fuel Gas Company
2851,NFH,New Frontier Health Corporation Ordinary Shares,$8.60,1129670028.0,28007,Health Care,Hospital/Nursing Management,New Frontier Health
2852,NFJ,AllianzGI Dividend Interest & Premium Strategy Fund,$13.46,1276029280.0,416788,Finance,Finance: Consumer Services,Allianzgi Dividend Interest & Premium Strategy Fund
2853,NFLX,Netflix Inc. Common Stock,$540.73,239000000000.0,5392322,Consumer Services,Consumer Electronics/Video Chains,Netflix
2854,NG,Novagold Resources Inc.,$9.67,3190253672.0,908338,Basic Industries,Precious Metals,Novagold Resources
2855,NGA,Northern Genesis Acquisition Corp. Common Stock,$17.78,709985270.0,1040559,Finance,Business Services,Northern Genesis Acquisition
2856,NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,$59.03,41561808694.0,191949,Public Utilities,Natural Gas Distribution,National Grid Transconational Grid
2857,NGHC,National General Holdings Corp Common Stock,$34.18,3878581516.0,4683520,Finance,Property-Casualty Insurers,National General Holdings
2858,NGM,NGM Biopharmaceuticals Inc. Common Stock,$30.30,2090938754.0,234936,Health Care,Major Pharmaceuticals,Ngm Biopharmaceuticals
2859,NGMS,NeoGames S.A. Ordinary Shares,$37.99,935438825.0,260433,Consumer Services,Services-Misc. Amusement & Recreation,Neogames
2860,NGS,Natural Gas Services Group Inc. Common Stock,$9.48,127684215.0,16332,Energy,Oilfield Services/Equipment,Natural Gas Services Group
2861,NGVC,Natural Grocers by Vitamin Cottage Inc. Common Stock,$13.74,310024537.0,127733,Consumer Services,Food Chains,Natural Grocers By Vitamin Cottage
2862,NGVT,Ingevity Corporation Common Stock ,$75.73,3126096081.0,258818,Basic Industries,Major Chemicals,Ingevity
2863,NH,NantHealth Inc. Common Stock,$3.23,359221650.0,565869,Technology,EDP Services,Nanthealth
2864,NHC,National HealthCare Corporation Common Stock,$66.41,1020023598.0,24695,Health Care,Hospital/Nursing Management,National Healthcare
2865,NHF,NexPoint Strategic Opportunities Fund,$10.52,480077212.0,476894,,,Nexpoint Strategic Opportunities Fund
2866,NHI,National Health Investors Inc. Common Stock,$69.17,3093915790.0,285435,Consumer Services,Real Estate Investment Trusts,National Health Investors
2867,NHIC,NewHold Investment Corp. Class A Common Stock,$10.01,215840625.0,47575,Finance,Business Services,Newhold Investment
2868,NHS,Neuberger Berman High Yield Strategies Fund,$11.69,228429439.0,77749,,,Neuberger Berman High Yield Strategies Fund
2869,NI,NiSource Inc Common Stock,$22.94,8790887707.0,1812582,Public Utilities,Power Generation,Nisource
2870,NICE,NICE Ltd American Depositary Shares,$283.54,17787115775.0,129845,Technology,Computer Software: Prepackaged Software,Nice
2871,NID,Nuveen Intermediate Duration Municipal Term Fund Common Shares of Beneficial Interest,$13.88,651106081.0,68857,,,Nuveen Intermediate Duration Municipal Term Fund Of Beneficial Interest
2872,NIE,AllianzGI Equity & Convertible Income Fund,$28.28,783609530.0,49295,,,Allianzgi Equity & Convertible Income Fund
2873,NIM,Nuveen Select Maturities Municipal Fund Common Stock,$10.68,132854250.0,26900,,,Nuveen Select Maturities Municipal Fund
2874,NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share,$48.74,75981089163.0,129344311,Capital Goods,Auto Manufacturing,Nio Each Representing One Ordinary Share
2875,NIQ,Nuveenn Intermediate Duration Quality Municipal Term Fund Common Shares of Beneficial Interest,$14.73,192920931.0,19534,,,Nuveenn Intermediate Duration Quality Municipal Term Fund Of Beneficial Interest
